feature,importance_mean,importance_std
WINDOWS_DESCRIPTION,0.07058390519144686,0.0018220585898885942
CONSTRUCTION_AGE_NUM,0.06284930833690987,0.0011903685587097762
MAIN_FUEL,0.06163236171187323,0.0023524761462962217
MAINHEAT_DESCRIPTION,0.03574890023205304,0.0023264081798708564
HOTWATER_DESCRIPTION,0.03368781606831488,0.0022881720714768563
BUILT_FORM,0.026619685098533408,0.0023156470889583213
FLOOR_DESCRIPTION,0.025559255842115512,0.001294344528415254
FLAG_NO_LOFT_INSULATION,0.019255978949303178,0.002387818021645085
FLAG_SOLID_BRICK_BARE,0.019004680729833544,0.0019792724380343647
MAINHEATCONT_DESCRIPTION,0.01856089020769014,0.002250235363957528
ROOF_DESCRIPTION,0.018517185549926273,0.00284958207016102
WALLS_DESCRIPTION,0.016827211890015393,0.0016615057381108738
FLAG_GAS_BOILER,0.015596255717101304,0.0008036071870423633
SECONDHEAT_DESCRIPTION_IS_MISSING,0.013070164980044518,0.0025564981465870705
FLAG_HEAT_PUMP,0.01055152162766484,0.0007474838182911108
FLAG_ELECTRIC_HEATING,0.010122869893649966,0.0020700948270128885
PHOTO_SUPPLY,0.009996109765461125,0.001563857108305767
FLAG_CAVITY_INSULATED,0.007956590750423386,0.0014250119422092398
GLAZED_TYPE,0.006884008938082431,0.0011769625270734887
MECHANICAL_VENTILATION,0.006035164324390174,0.001146730156984967
TOTAL_FLOOR_AREA,0.0056448640020026804,0.002016359989899725
NUMBER_OPEN_FIREPLACES,0.00557548999301416,0.0006886673548525781
ENERGY_TARIFF,0.005337870869619144,0.0009115231436060015
FLOOR_LEVEL_NUM,0.005074501664210107,0.0016774982143967822
LOW_ENERGY_LIGHTING,0.003943469648486087,0.0009398961298974413
FIXED_LIGHTING_OUTLETS_COUNT,0.0035126671530501196,0.0017379640665091628
MULTI_GLAZE_PROPORTION,0.0033886845924922413,0.0011914777887710058
FLOOR_HEIGHT,0.002968618867879602,0.0026111269053868728
HEAT_LOSS_CORRIDOR,0.002157072382737679,0.00041769055121108976
SECONDHEAT_DESCRIPTION,0.002114035520495916,0.0010150870153553956
GLAZED_AREA,0.0018857834639270932,0.001025758815382862
EXTENSION_COUNT,0.0011362366940108615,0.0007858670527112965
LOFT_INSULATION_MM,0.0010506961923776536,0.001292538472747126
UNHEATED_CORRIDOR_LENGTH,0.0008972171784961125,0.0013285918661953711
LIGHTING_DESCRIPTION,0.0008817341255195732,0.0005483694882996949
TENURE,0.0008129450483421952,0.0006433901849350134
MAINS_GAS_FLAG,0.0007590912348594658,0.000889859753948981
HAS_ONSITE_GENERATION,0.0007172887681013762,0.0001369010207842408
HEATED_ROOM_RATIO,0.0006782524749352036,0.000338949950703414
PROPERTY_TYPE,0.0005710594515967671,0.001074137432687209
FLAG_TRIPLE_GLAZED,0.0005449480957388398,9.963994219661035e-05
LODGEMENT_DATE,0.0003386701501176592,0.00028387302701317314
CONSTRUCTION_AGE_BAND,0.0002614538878629835,0.0007814935311897713
POSTCODE_DISTRICT,0.0002448648199387726,0.0010926006527667768
SOLAR_WATER_HEATING_FLAG,0.00021024019323472308,0.0002668494822870477
SOLAR_WATER_HEATING_FLAG_IS_MISSING,0.00017857129587406373,0.0002509652990168279
TRANSACTION_TYPE,0.0001381877389026398,0.0007714990827534262
REPORT_TYPE,8.777535452522133e-05,0.00013704680717844975
FLAG_SINGLE_GLAZED,1.3366172201001448e-05,0.0001710958272745522
FLOOR_LEVEL_NUM_IS_MISSING,0.0,0.0
MAIN_HEATING_CONTROLS,0.0,0.0
INSPECTION_DATE,0.0,0.0
INSPECTION_YEAR,0.0,0.0
LOW_ENERGY_FIXED_LIGHT_COUNT,0.0,0.0
HEATED_ROOM_RATIO_IS_MISSING,0.0,0.0
FIXED_LIGHTING_OUTLETS_COUNT_IS_MISSING,0.0,0.0
LOW_ENERGY_FIXED_LIGHT_COUNT_IS_MISSING,0.0,0.0
NUMBER_HEATED_ROOMS_IS_MISSING,0.0,0.0
WIND_TURBINE_COUNT,0.0,0.0
FLAG_LOFT_270MM,0.0,0.0
LOW_ENERGY_LIGHTING_RATIO,0.0,0.0
LOG_FLOOR_AREA,0.0,0.0
NUMBER_HABITABLE_ROOMS_IS_MISSING,0.0,0.0
MAIN_HEATING_CONTROLS_IS_MISSING,0.0,0.0
MULTI_GLAZE_PROPORTION_IS_MISSING,0.0,0.0
GLAZED_AREA_IS_MISSING,0.0,0.0
EXTENSION_COUNT_IS_MISSING,0.0,0.0
UNHEATED_CORRIDOR_LENGTH_IS_MISSING,0.0,0.0
MAINS_GAS_FLAG_IS_MISSING,0.0,0.0
FLAT_STOREY_COUNT_IS_MISSING,0.0,0.0
AREA_PER_ROOM_IS_MISSING,0.0,0.0
LOW_ENERGY_LIGHTING_RATIO_IS_MISSING,0.0,0.0
CONSTRUCTION_AGE_NUM_IS_MISSING,0.0,0.0
CONSTRUCTION_AGE_BAND_IS_MISSING,0.0,0.0
PHOTO_SUPPLY_IS_MISSING,0.0,0.0
FLOOR_HEIGHT_IS_MISSING,0.0,0.0
MECHANICAL_VENTILATION_IS_MISSING,0.0,0.0
HEAT_LOSS_CORRIDOR_IS_MISSING,-9.138450588666024e-05,0.0003738768638758001
GLAZED_TYPE_IS_MISSING,-0.0001553565815482605,0.00021621642280093877
AREA_PER_ROOM,-0.0002386617350050413,0.0005343861589402627
INSPECTION_QUARTER,-0.00033746171896784636,0.0005151399578345943
NUMBER_HABITABLE_ROOMS,-0.0008890321828463943,0.00043758143128602977
FLAT_STOREY_COUNT,-0.0009401299659014039,0.0006106097057033362
FLAT_TOP_STOREY_IS_MISSING,-0.0010122560976969952,0.0005675923041219556
FLAT_TOP_STOREY,-0.00108511692524369,0.0006061773618650402
NUMBER_HEATED_ROOMS,-0.0014650443067168784,0.0008480717045483453
