,count,mean,std,min,25%,50%,75%,max,pct_missing
CURRENT_ENERGY_EFFICIENCY,49442.0,67.90924719873792,11.324024314341857,1.0,62.0,70.0,75.0,108.0,0.0
POTENTIAL_ENERGY_EFFICIENCY,49442.0,79.79125035395008,8.115666945901799,1.0,76.0,81.0,85.0,124.0,0.0
ENVIRONMENTAL_IMPACT_CURRENT,49442.0,65.7224626835484,14.507443663963205,1.0,57.0,67.0,75.0,130.0,0.0
ENVIRONMENTAL_IMPACT_POTENTIAL,49442.0,78.37324541887465,10.338452555517923,1.0,74.0,80.0,85.0,130.0,0.0
ENERGY_CONSUMPTION_CURRENT,49442.0,228.04194814125643,112.84648376028487,-253.0,166.0,210.0,271.0,1870.0,0.0
ENERGY_CONSUMPTION_POTENTIAL,49442.0,139.49027142914932,90.81953099092937,-253.0,84.0,119.0,170.0,1867.0,0.0
CO2_EMISSIONS_CURRENT,49442.0,3.3074713806075806,2.5033028891662195,-3.0,1.9,2.8,4.1,93.0,0.0
CO2_EMISS_CURR_PER_FLOOR_AREA,49442.0,39.92682334857004,19.455430318384337,-42.0,29.0,37.0,48.0,326.0,0.0
CO2_EMISSIONS_POTENTIAL,49442.0,1.9386230330488248,1.6044518062295223,-3.0,1.1,1.6,2.3,70.0,0.0
LIGHTING_COST_CURRENT,49442.0,80.79054245378423,40.59989391173989,-1.0,54.0,73.0,98.0,1130.0,0.0
LIGHTING_COST_POTENTIAL,49442.0,68.90386715747745,34.6605606493228,-1.0,47.0,62.0,81.0,1130.0,0.0
HEATING_COST_CURRENT,49442.0,653.8127705189919,553.4582602041878,-1.0,332.0,522.0,802.0,18506.0,0.0
HEATING_COST_POTENTIAL,49442.0,492.56921241050117,359.3143732549467,-1.0,281.0,411.0,596.0,14620.0,0.0
HOT_WATER_COST_CURRENT,49442.0,157.45234820597872,95.02692665957228,-1.0,96.0,129.0,187.0,1458.0,0.0
HOT_WATER_COST_POTENTIAL,49442.0,118.56947534484851,72.35096991527398,-1.0,72.0,90.0,143.0,1133.0,0.0
TOTAL_FLOOR_AREA,49421.0,84.30807369336922,43.68932174499508,10.0,57.0,77.0,98.0,321.0,0.04
FLAT_STOREY_COUNT,2097.0,2.8345255126371005,1.1737386344930705,1.0,2.0,3.0,3.0,15.0,95.76
MULTI_GLAZE_PROPORTION,47017.0,90.96686304953528,25.38913934262604,0.0,100.0,100.0,100.0,100.0,4.9
EXTENSION_COUNT,44772.0,0.532520325203252,0.7995281605144011,0.0,0.0,0.0,1.0,4.0,9.45
NUMBER_HABITABLE_ROOMS,44772.0,4.171133744304476,1.8944635856601963,1.0,3.0,4.0,5.0,42.0,9.45
NUMBER_HEATED_ROOMS,44709.0,4.138316670021696,1.898249652363718,1.0,3.0,4.0,5.0,42.0,9.57
LOW_ENERGY_LIGHTING,48498.0,76.09163264464514,31.61422528639178,0.0,57.0,100.0,100.0,100.0,1.91
NUMBER_OPEN_FIREPLACES,47437.0,0.1261040959588507,0.4612856976491711,0.0,0.0,0.0,0.0,14.0,4.06
WIND_TURBINE_COUNT,47739.0,-2.094723391776116e-05,0.017726100865887634,-1.0,0.0,0.0,0.0,1.0,3.44
UNHEATED_CORRIDOR_LENGTH,9011.0,5.117540339584952,3.0202104533782927,0.0,3.26,5.22,6.9,27.0,81.77
FLOOR_HEIGHT,28500.0,2.3949493333333334,0.20005941228122187,0.0,2.33,2.4,2.45,9.4,42.36
PHOTO_SUPPLY,28155.0,0.3630971408275617,3.7733387677279815,0.0,0.0,0.0,0.0,100.0,43.05
FIXED_LIGHTING_OUTLETS_COUNT,29953.0,11.864020298467599,8.137841501204926,0.0,7.0,10.0,14.0,178.0,39.42
LOW_ENERGY_FIXED_LIGHT_COUNT,8774.0,7.431958057898336,7.004833612787917,0.0,3.0,6.0,10.0,100.0,82.25
REPORT_TYPE,49442.0,100.09427207637232,0.2922098201527844,100.0,100.0,100.0,100.0,101.0,0.0
HAS_ONSITE_GENERATION,49442.0,0.0033776950770599895,0.05802029248429733,0.0,0.0,0.0,0.0,1.0,0.0
